LDA K=12 Topic Keywords (corrected corpus, seed=123)
============================================================
Topic 0: political (0.007), british (0.007), kill (0.005), army (0.005), guerrilla (0.005), military (0.005), violence (0.005), force (0.004), communist (0.004), organization (0.004)
Topic 1: school (0.005), child (0.005), home (0.004), student (0.004), business (0.003), mayor (0.003), job (0.003), street (0.002), run (0.002), help (0.002)
Topic 2: israel (0.016), iran (0.013), arab (0.010), meet (0.007), meeting (0.006), libya (0.006), peace (0.006), washington (0.006), syria (0.006), palestinian (0.005)
Topic 3: iraq (0.037), military (0.024), iraqi (0.022), force (0.017), kill (0.014), attack (0.013), troop (0.013), soldier (0.011), baghdad (0.010), army (0.009)
Topic 4: kill (0.008), attack (0.008), bomb (0.007), building (0.005), bombing (0.005), airport (0.004), fire (0.004), plane (0.004), car (0.004), officer (0.004)
Topic 5: french (0.016), russia (0.014), soviet (0.013), france (0.012), russian (0.012), german (0.009), europe (0.008), moscow (0.008), european (0.008), germany (0.007)
Topic 6: judge (0.013), lawyer (0.011), trial (0.010), prosecutor (0.007), rule (0.005), investigation (0.005), accuse (0.005), terrorism (0.005), prison (0.005), defendant (0.005)
Topic 7: agency (0.008), plan (0.007), security (0.007), intelligence (0.006), program (0.006), federal (0.004), threat (0.004), attack (0.004), provide (0.004), effort (0.004)
Topic 8: israel (0.041), israeli (0.035), palestinian (0.022), palestinians (0.014), hamas (0.013), attack (0.012), lebanon (0.011), kill (0.011), israelis (0.010), gaza (0.009)
Topic 9: pakistan (0.016), attack (0.015), afghanistan (0.015), taliban (0.008), india (0.007), kill (0.007), muslim (0.007), military (0.006), pakistani (0.006), al_qaeda (0.006)
Topic 10: bush (0.022), iraq (0.009), war (0.009), campaign (0.008), vote (0.008), election (0.008), republican (0.007), white_house (0.006), democrats (0.005), president_bush (0.005)
Topic 11: war (0.006), right (0.006), mean (0.004), problem (0.004), policy (0.004), force (0.004), political (0.003), america (0.003), peace (0.003), economic (0.003)
