Topic_ID,Keywords
0,"0.007*""political"" + 0.007*""british"" + 0.005*""kill"" + 0.005*""army"" + 0.005*""guerrilla"" + 0.005*""military"" + 0.005*""violence"" + 0.004*""force"" + 0.004*""communist"" + 0.004*""organization"""
1,"0.005*""school"" + 0.005*""child"" + 0.004*""home"" + 0.004*""student"" + 0.003*""business"" + 0.003*""mayor"" + 0.003*""job"" + 0.002*""street"" + 0.002*""run"" + 0.002*""help"""
2,"0.016*""israel"" + 0.013*""iran"" + 0.010*""arab"" + 0.007*""meet"" + 0.006*""meeting"" + 0.006*""libya"" + 0.006*""peace"" + 0.006*""washington"" + 0.006*""syria"" + 0.005*""palestinian"""
3,"0.037*""iraq"" + 0.024*""military"" + 0.022*""iraqi"" + 0.017*""force"" + 0.014*""kill"" + 0.013*""attack"" + 0.013*""troop"" + 0.011*""soldier"" + 0.010*""baghdad"" + 0.009*""army"""
4,"0.008*""kill"" + 0.008*""attack"" + 0.007*""bomb"" + 0.005*""building"" + 0.005*""bombing"" + 0.004*""airport"" + 0.004*""fire"" + 0.004*""plane"" + 0.004*""car"" + 0.004*""officer"""
5,"0.016*""french"" + 0.014*""russia"" + 0.013*""soviet"" + 0.012*""france"" + 0.012*""russian"" + 0.009*""german"" + 0.008*""europe"" + 0.008*""moscow"" + 0.008*""european"" + 0.007*""germany"""
6,"0.013*""judge"" + 0.011*""lawyer"" + 0.010*""trial"" + 0.007*""prosecutor"" + 0.005*""rule"" + 0.005*""investigation"" + 0.005*""accuse"" + 0.005*""terrorism"" + 0.005*""prison"" + 0.005*""defendant"""
7,"0.008*""agency"" + 0.007*""plan"" + 0.007*""security"" + 0.006*""intelligence"" + 0.006*""program"" + 0.004*""federal"" + 0.004*""threat"" + 0.004*""attack"" + 0.004*""provide"" + 0.004*""effort"""
8,"0.041*""israel"" + 0.035*""israeli"" + 0.022*""palestinian"" + 0.014*""palestinians"" + 0.013*""hamas"" + 0.012*""attack"" + 0.011*""lebanon"" + 0.011*""kill"" + 0.010*""israelis"" + 0.009*""gaza"""
9,"0.016*""pakistan"" + 0.015*""attack"" + 0.015*""afghanistan"" + 0.008*""taliban"" + 0.007*""india"" + 0.007*""kill"" + 0.007*""muslim"" + 0.006*""military"" + 0.006*""pakistani"" + 0.006*""al_qaeda"""
10,"0.022*""bush"" + 0.009*""iraq"" + 0.009*""war"" + 0.008*""campaign"" + 0.008*""vote"" + 0.008*""election"" + 0.007*""republican"" + 0.006*""white_house"" + 0.005*""democrats"" + 0.005*""president_bush"""
11,"0.006*""war"" + 0.006*""right"" + 0.004*""mean"" + 0.004*""problem"" + 0.004*""policy"" + 0.004*""force"" + 0.003*""political"" + 0.003*""america"" + 0.003*""peace"" + 0.003*""economic"""
