,Importance
terrorist,0.006805019245566701
terrorism,0.003779525584397587
palestine,0.00322078440377467
terrorist_attack,0.0031555984796071174
german,0.0029590457852447798
bombing,0.00253775627895794
typhus,0.0021814986215896223
british,0.002125681688844869
israeli,0.0021109670133719373
israel,0.0018560710650105464
communist,0.0018461900134828697
president_bush,0.001826960589747773
iraq,0.0018072173722128407
declare,0.0017360631850526947
attack,0.001727560024423719
french,0.0016765590529944682
algeria,0.001653102662158533
afghanistan,0.0016514833665253355
cyprus,0.0016333497954600167
russia,0.0015482605783492997
bush_administration,0.0015443174282980187
greek,0.0015418949722938921
guerrilla,0.0014778920938375616
jewish,0.0014136950989809822
otis,0.0014047977669045784
character,0.0013623870316675515
purpose,0.0013619633955736406
gentleman,0.0013455629382421346
russian,0.0013317915923006685
bush,0.001297518267633
early,0.0012779492664317799
al_qaeda,0.0012744460977390953
southern,0.001258915997528114
spokesman,0.0012521926780965985
tunisia,0.0012497141619967668
president_reagan,0.001225453888708262
senior,0.0012161638131710666
sept_attack,0.0012062030659703879
arab,0.0011480634861274625
germany,0.001135648869362958
paris,0.0011245001812816892
washington,0.0010914480531714317
republican,0.0010853822157725459
kill,0.0010832138206849358
military,0.0010732302159957153
security,0.001050177566139046
class,0.001043411304600157
special,0.0010422342035179
algerian,0.001031844187164663
force,0.0010178721842819393
