Period,Target_Word,Model_Type,Overlap_Count,Jaccard,Shared_Terms,Only_Original,Only_Robust
1851-1900,terrorism,CBOW,7,0.163,"adams, alabama_arkansas, arkansas, fair_election, georgia_alabama, jackson_miss, louisiana_mississippi","antagonise, arkansas_mississippi, bias, depopulate, exalted, florida_louisiana, found_principle, intimidation_violence, jefferson, klan, lawlessness_prevail, legislature_elect, merciless, mississippi_louisiana, practical_disfranchisement, riot_tumult, south_west, throughout_entire","civil_right, congressional_district, enfranchise, essence, florida, incorrect, interference, maryland_virginia, overt_act, pal_proquest_historical, ratio, representatives, review, ringleader, secede, secessionist, slaveholding, supposition"
1851-1900,terrorism,SkipGram,5,0.111,"alabama_arkansas, arkansas, fair_election, georgia_alabama, mississippi","arkansas_mississippi, ascertain_exact, defence_protection, delegates, deprive_right, eastern_tennessee, evidence, exist, foreign_consul, freedmen, insulate, interesting_alabama, lawlessness_prevail, nonsensical, oxford_miss, reign_terror, reign_terror_exist, riots, stand_trial, virus","alabama, color_voter, constitutional_convention, democrats, disgraceful, extremely_difficult, import, louisiana_mississippi, louisiana_south_carolina, mississippi_louisiana, nullify, perpetrate, populist, rider, sill, south_carolina, speedily, tranquil, unauthorized, vain"
1851-1900,terrorist,CBOW,11,0.282,"atrocity, brigandage, brute_force, carnival, dread, mississippi_louisiana, originality, ostracism, reign_terror, repression, violence_intimidation","amply_sufficient, arkansas_mississippi, barbarous, fruitful, intent_purpose, irresponsible, priest, shameful, spy, strong_feeling, tactic, terror, universal_suffrage, venomous","australian, conspiracy, grind, illegal, incredulity, lawless, notoriously, patronage, pressure, stony_follow, sympathizer, terrorise, tyrannical, viii"
1851-1900,terrorist,SkipGram,11,0.282,"exercise, fraud, intimidation, mississippi_louisiana, reign, riot_tumult, terrorise, thrive, violence, violence_intimidation, wholesale","arkansas_mississippi, bloodshed, corruption, daily_nightly, evildoer, fatally, persecution, prevail, prohibitionist, strong_feeling, universal_suffrage, virtual, widespread, wild_excitement","brigandage, corrupt_influence, ferocious, frenzy, illegal, irresponsible, lawless, outrage, practice, proscription, resorted, system, systematic, terror"
1901-1930,terrorism,CBOW,14,0.389,"bulgar, chamber_deputy, delhi, denounce, madrid, miners, outlaw, proclamation, provisional_government, social_revolutionist, social_revolutionists, socialist_revolutionary, sofia, sympathizer","assassination, charge_conspire, countless, coup_tat, express_sympathy, field_marshal, friedrich, minister_interior, russian_revolutionists, vengeance, wholesale_execution","form_cabinet, indignation, king_alexander, labor_party, nikolai, noblemen, organ, political_opponent, refuse_recognize, social_revolutionary, unionist"
1901-1930,terrorism,SkipGram,13,0.351,"bulgar, canton, equally_responsible, forgery, miners, progress_toward, reich, russian_revolutionists, ruthlessness, secret_agent, trial_jury, uneasiness, walsh","berlin_via, bolshevik, charge_conspire, communist_propaganda, indianapolis, inquest, method_warfare, peer, ridicule, social_revolutionists, ted, unheard","class_hit_dig_proquest, deny, duel, lender, offer_reward, palatinate, passive_resistance, political_opponent, political_prisoner, terrorist, terrorist_activity, warsaw_dispatch"
1901-1930,terrorist,CBOW,20,0.667,"act_violence, assassination, brutal, conspiracy, desperate, inaugurate, intimidation, night_rider, outrage, reign_terror, repression, reprisal, resort, sabotage, terror, terrorism, tyranny, vengeance, violence, wholesale","brutally, indignation, murder, perpetrate, spread","attempt, disguise, illegal, retaliation, ruthless"
1901-1930,terrorist,SkipGram,13,0.351,"callous, culmination, factory_worker, misdeed, perpetrate, political_persecution, shrink, slayer, vindication, violence, wholesale_execution, wholesale_murder, wickedness","assassination, awakening, emissary, inaugurate, instrumental, murder_robbery, night_rider, parliamentary_election, pillage, political_opponent, resorted, unlawful_act","become_aware, blackmail, cowardly, intimidate, knife, net_result, outrage, perpetuate, pitiless, reign_terror, ruthlessness, trial_jury"
1931-1950,terrorism,CBOW,15,0.429,"bombing, holy_war, issue_manifesto, jews, jews_palestine, malaya, nazi, nazis, pact, reich, riot, spain, terror, zionism, zionist","arabs, assail, berne_switzerland, deportation, klan, leftist, outlaws, plotter, reign_terror, riots","belgrade_dig, class_hit_dig_proquest, coup, proquest_historical_palestine, seizure, stockholm_sweden, table_york_times, tireless_yore, tireless_york_times_dig, york_times_dig_proquest"
1931-1950,terrorism,SkipGram,11,0.282,"argentine, balk, bomb_blast, bombing, bulgarian, eden, nazis, pact, smuggling, terrorist, terrorize","electoral_campaign, fascism, gunman, holdup, jews, klan, labor_confederation, meetings, misrule, organizations, reich, rome, sown, terror","associate_dress_dig_proquest, beating, class_hit_dig_proquest, jews_palestine, laval, proquest_historical_arabs, riot, special_tre, table_york_times, textile_strike, tireless_york_times_dig, weir, york_times_dig_proquest, zionism"
1931-1950,terrorist,CBOW,19,0.613,"act_violence, agitation, disorder, extremist, instigate, instigator, intensify, killing, lawless, outrage, reign_terror, resistance_movement, terror, terrorist_activity, terrorist_attack, terrorist_organization, underground, underground_organization, violence","agitator, au_authority, bridle, informer, mediator_palestine, passive_resistance","abduction, assassination, brigandage, kidnapping, reprisal, senseless"
1931-1950,terrorist,SkipGram,17,0.515,"abate, army_sergeant, assassination_attempt, banditry, crackdown, erroneously, extremist_group, illegal_possession, instigate, mediator_palestine, occupation_authority, precaution_prevent, recrudescence, republican_army, retaliatory, spontaneous, unionist_militia","allege_confession, brigandage, claim_credit, heavy_penalty, murder_innocent, swoop, terrorist_activity, wholesale_murder","albion_ross, bridle, citizens_federation, disturber_peace, instigator, terrorist_attack, wave_violence, whispering"
1951-1960,terrorism,CBOW,15,0.429,"assailant, assassin, bombing, burst, cameroon, gas, kill_injure, lyons, miner, outbreak_violence, shoot_death, slain, slay, tear, tear_gas","counterterrorist, killing, north_africans, person_wound, policeman_wound, porter, revolver, seriously_wound, shot_fire, throw_grenade","alert, belfast, historical_slain, irish, jakarta_indonesia, mile_south, quiet, rioter, terrorists, violence_flare"
1951-1960,terrorism,SkipGram,15,0.429,"argentine, armed_gang, bombing, gas, hart, jacksonville_la, kenya, killing, miami, renew_violence, services, stern_measure, strike_paralyze, terrorists, violence_flare","aunt, bedroom, kill_injure, manila_sov, san_juan, slay, tear_gas, touching, virginia, walkout","anew, bird, burst, drive_mau_mau, earning, henry_dig_proquest, historical_mau_mau, historical_slain, joseph_special_times_proquest, severity"
1951-1960,terrorist,CBOW,17,0.515,"extremist, flare, halt, inn_vein, irish_republican_army, leaflet, mount, murder, outlaw, rival, security_force, strife, terror, terrorist_activity, terrorist_organization, underground, wave","assassination, bed, capture, clash, coincide, guerrilla_activity, headquarter, sweep","launch, mass, minor, repression, sabotage, spread, violence, wipe"
1951-1960,terrorist,SkipGram,14,0.389,"activist, antiterrorist_drive, arrest_suspect, civilians, constabulary, counterterrorist, guerrilla_activity, gun_battle, kill_injure, killing, policeman_soldier, stern_measure, underground_organization, violence_flare","acting, civilian_wound, death_toll, end_sight, instigator, late_night, north_africans, revenge, rounded, throw_bomb, wound_seriously","armed_gang, exterminate, historical_mau_mau, historical_slain, hold_responsible, loot, outburst, rout, shoot_dead, terrorists, throw_grenade"
1961-1980,terrorism,CBOW,15,0.429,"basque, bombing, castro, christopher_wren_special_times, hijack, hoover, jews, mideast, oran, pact, pretoria_south_africa, rome, strife, wave_violence, yugoslavia","aden, assail, clashes, israeli, jonathan_special, leftist_rightist, lima_peru, outbreak_violence, rancor, tension_rise","bernard_proquest_historical, feud, historical_comb, jonathan_special_times, juan_special_times_dig, peril, robert_times_rep, soup, special_dig_proquest, terror"
1961-1980,terrorism,SkipGram,9,0.22,"attacks, bad_feeling, bahama, hoover, mideast, pact, terror, trial_adjourn, yugoslavia","basque, bombing, british_aden, campus, committee_colonialism, curfew_impose, guerrilla_incursion, increase_frequency, leftist_rightist, oran, pretoria_south_africa, rancor, strife, suspend_constitutional_guarantee, terrorist, violence","annex_territory, arabs, buenos_air_dig, cape_town, charle_proquest_historical, clashes, historical_caracas, historical_comb, israeli_jet, james_times_proquest, johannesburg_south, proquest_historical_kill, robert_times_rep, roe_historical_times, special_oran, stir_unrest"
1961-1980,terrorist,CBOW,18,0.562,"accomplice, airline_hijacking, extremist, extremist_group, guerrilla, hacking, hijacking, kidnap_murder, red_army, red_brigade_italy, ringleader, terror, terrorist_activity, terrorist_attack, terrorist_organization, underground_organization, urban_guerrilla, urban_guerrillas","criminal_act, euer_villa, gang, hold_responsible, lunatic, militant_group, wave_violence","counterterror, japanese_red_army, oil_installation, oppressive_measure, publicize, red_army_traction, sabotage"
1961-1980,terrorist,SkipGram,14,0.389,"commandeer_airline, employers_association, hijacking_sabotage, kidnapping_slay, murderous_assault, plane_hijacking, punish_severely, red_brigade_italy, refuse_bargain, remain_unknown, stuttgart_prison, terror, terrorist_organization, west_german_embassy_stockholm","amsterdam_netherlands, concerned_possibility, criminal_gang, employer_industry_federation, extremist, gang_anarchist, indonesian_consulate_amsterdam, mount_wave, random_coming, responsibility_abduction, telephone_caller","axe, banker_onto, gang_undress, guerrillas_guerrillas, leftwe_terrorist, outrage_commit, red_army_traction, team_olympics, terrorist_activity, urban_guerrillas, yugoslavia"
1981-20010910,terrorism,CBOW,19,0.613,"act_terrorism, act_violence, aggression, blackmail, combat_terrorism, fight_terrorism, global_terrorism, international_cooperation, international_terrorism, specifically, sponsor_terrorism, subversion, terror, terrorist, terrorist_activity, terrorist_attack, terrorist_organization, violence, violent_act","create_atmosphere, drug_traffic, indiscriminate_violence, mass_murder, terror_attack, violent_activity","abhorrent, apprehension_prosecution, crime, jury_tamper, subversion_terrorism, tough_measure"
1981-20010910,terrorism,SkipGram,9,0.22,"act_terrorism, combat_terrorism, fight_terrorism, international_terrorism, sponsor_terrorism, terror, terrorist, terrorist_activity, terrorist_attack","abhorrent, attempt_undermine, definitively, drug_traffic, global_terrorism, harbor_terrorist, indicative, indiscriminate_violence, international_cooperation, narcotic_traffic, publicly_condemn, retaliatory_action, scourge_terrorism, subversion, turn_blind_eye, undermine_effort","aircraft_hijacking, anxious_avoid, apprehend_prosecute, counteraction, environmental_degradation, eradicate_terrorism, express_determination, international_drug_trafficking, mad_dog_middle_east, match_deed, politically_inspire, presence_saudi_arabia, spectacular_act, strongly_reaffirm, subversion_terrorism, unequivocally_firmly"
1981-20010910,terrorist,CBOW,20,0.667,"act_terrorism, blackmail, extremist, extremist_group, international_terrorism, islamic_extremist, islamic_militant, mass_murder, militant_group, purportedly, terror, terrorism, terrorism_suspect, terrorist_activity, terrorist_attack, terrorist_cell, terrorist_network, terrorist_organization, terrorists, urban_guerrilla","deadly_attack, saudi_exile, tie_bin_laden, weapon_explosive, west_berlin_discotheque","militant, mohammed_rashid, sikh_riot, suicide_bomber, terror_attack"
1981-20010910,terrorist,SkipGram,3,0.064,"terrorist_attack, terrorist_organization, terrorists","act_terrorism, airplane_hijacking, airport_rome_vienna, american_authorities, armenian_secret, attack, deadly_attack, evidence_connect, extremist, extremist_group, gun_explosive, hijacking_airliner, japanese_red_army, militant_group, suicide_bomb, terror, terrorism, terrorism_suspect, terrorist_activity, terrorist_cell, threat_seriously, urban_guerrilla","americans_american_installations, apprehend_prosecute, arresting, assassination_kidnapping, attack_american_targets, barbarous_act, club_naple, commando_team, convict_planting, describe_mastermind, georges_chairman_renault, horrible_massacre, killing_kidnapping, mohammed_rashid, purport_role, red_brigade_italy, stage_spectacular, string_killing, tamil_riot, vienna_austrian, west_germany_red_brigades, widespread_revulsion"
20010911-2019,terrorism,CBOW,22,0.786,"act_terrorism, combat_terrorism, counter_terrorism, counterterrorism, extremism, fight_terrorism, global_terrorism, global_war_terror, homegrown_terrorist, international_terrorism, islamic_extremism, islamic_extremist, jihad_holy, radical_islam, terror, terror_attack, terror_network, terrorism_extremism, terrorist, terrorist_activity, terrorist_network, war_terror","antiterrorism, spread_nuclear_weapon, violent_extremist","anti_terrorism, criminal_act, vestige_cold"
20010911-2019,terrorism,SkipGram,6,0.136,"fight_terrorism, global_terrorism, international_terrorism, terror, terror_attack, terrorist","act_terrorism, antiterrorism, combat_terrorism, crime_crime_humanity, destabilize_middle_east, eradicate_terrorism, global_war_terror, iraq_distraction, muslim_extremism, narcotic_traffic, regional_instability, sept_attack, spread_weapon_mass, terror_network, terrorism_extremism, terrorist_activity, terrorist_attack, terrorist_network, war_terror","antiterrorism_strategy, bid_salvage, bold_stroke, compile_interagency, considerable_difficulty, consume_energy, criticize_imprecise_speculative, danger_inaction, ed_republican_strategist, effectively_counter, explain_understood, integral_part_broad, iraq_detract, linchpin_effort, major_restructuring, preserve_flexibility, profound_diversion, undermine_ongoing, unnecessary_costly"
20010911-2019,terrorist,CBOW,20,0.667,"act_terrorism, al_qaeda, al_qaeda_network, bin_laden_network, enemy, extremist, homegrown_terrorist, international_terrorism, islamic_extremist, islamic_militant, islamic_radical, perpetrator, terror, terror_attack, terror_network, terrorism, terrorist_activity, terrorist_cell, terrorist_network, terrorist_organization","al_qaeda_cell, al_qaeda_operative, extremist_group, osama_bin_laden_network, qaeda_member","aryan, detect_disrupt, global_terrorism, muslim_extremist, terrorists"
20010911-2019,terrorist,SkipGram,7,0.163,"al_qaeda, finance_al_qaeda, plot_al_qaeda, terror, terror_network, terrorism, terrorist_network","abdullah_mohammed, al_qaeda_sympathizer, attack, bin_laden_operative, financial_logistical, los_angeles_airport, millennium_celebration, outlaw_regime, pose_imminent, possess_weapon, radiological_material, sept_hijacking, sleeper_cell, terror_attack, terrorist_activity, terrorist_cell, terrorist_organization, terrorists","administration_evidence_scanty, aryan, associated_al_qaeda, bly_oregon, brutalize_torture, cold_blood_killer, gravest_danger, homegrown_extremist, keenly_interested, lone_extremist, prudent_step, requirement_collector, shopping_center_supermarket, sleeper_agent, sustain_systematic, tobe, trove_information, wherever_hide"
