Neighbor_Word,Similarity,Target_Word,Period,Model_Type,Rank
arkansas,0.7102963924407959,terrorism,1851-1900,CBOW,1
fair_election,0.5933595895767212,terrorism,1851-1900,CBOW,2
review,0.5924885869026184,terrorism,1851-1900,CBOW,3
georgia_alabama,0.5750716328620911,terrorism,1851-1900,CBOW,4
jackson_miss,0.5421245694160461,terrorism,1851-1900,CBOW,5
alabama_arkansas,0.5352535843849182,terrorism,1851-1900,CBOW,6
overt_act,0.5238479375839233,terrorism,1851-1900,CBOW,7
louisiana_mississippi,0.5217914581298828,terrorism,1851-1900,CBOW,8
ringleader,0.5009317398071289,terrorism,1851-1900,CBOW,9
incorrect,0.48469364643096924,terrorism,1851-1900,CBOW,10
secessionist,0.48330816626548767,terrorism,1851-1900,CBOW,11
representatives,0.4826173484325409,terrorism,1851-1900,CBOW,12
secede,0.47971880435943604,terrorism,1851-1900,CBOW,13
pal_proquest_historical,0.4782385230064392,terrorism,1851-1900,CBOW,14
florida,0.4755781590938568,terrorism,1851-1900,CBOW,15
congressional_district,0.46955496072769165,terrorism,1851-1900,CBOW,16
essence,0.4664296805858612,terrorism,1851-1900,CBOW,17
interference,0.46610915660858154,terrorism,1851-1900,CBOW,18
enfranchise,0.46601933240890503,terrorism,1851-1900,CBOW,19
ratio,0.4628809988498688,terrorism,1851-1900,CBOW,20
supposition,0.4625948369503021,terrorism,1851-1900,CBOW,21
adams,0.461020290851593,terrorism,1851-1900,CBOW,22
slaveholding,0.4568282961845398,terrorism,1851-1900,CBOW,23
civil_right,0.4534796476364136,terrorism,1851-1900,CBOW,24
maryland_virginia,0.45332270860671997,terrorism,1851-1900,CBOW,25
brigandage,0.531630277633667,terrorist,1851-1900,CBOW,1
brute_force,0.5103974342346191,terrorist,1851-1900,CBOW,2
reign_terror,0.5081778168678284,terrorist,1851-1900,CBOW,3
mississippi_louisiana,0.5015819072723389,terrorist,1851-1900,CBOW,4
ostracism,0.48644307255744934,terrorist,1851-1900,CBOW,5
carnival,0.48145580291748047,terrorist,1851-1900,CBOW,6
notoriously,0.4780026376247406,terrorist,1851-1900,CBOW,7
atrocity,0.4764389991760254,terrorist,1851-1900,CBOW,8
terrorise,0.4746331572532654,terrorist,1851-1900,CBOW,9
pressure,0.4737395644187927,terrorist,1851-1900,CBOW,10
australian,0.47323542833328247,terrorist,1851-1900,CBOW,11
grind,0.468699187040329,terrorist,1851-1900,CBOW,12
stony_follow,0.46712127327919006,terrorist,1851-1900,CBOW,13
dread,0.4645382761955261,terrorist,1851-1900,CBOW,14
conspiracy,0.4612817168235779,terrorist,1851-1900,CBOW,15
lawless,0.45438024401664734,terrorist,1851-1900,CBOW,16
incredulity,0.4525056481361389,terrorist,1851-1900,CBOW,17
illegal,0.45209836959838867,terrorist,1851-1900,CBOW,18
repression,0.4506714940071106,terrorist,1851-1900,CBOW,19
violence_intimidation,0.45017415285110474,terrorist,1851-1900,CBOW,20
originality,0.4450780153274536,terrorist,1851-1900,CBOW,21
sympathizer,0.44506677985191345,terrorist,1851-1900,CBOW,22
viii,0.4424711763858795,terrorist,1851-1900,CBOW,23
patronage,0.4405142068862915,terrorist,1851-1900,CBOW,24
tyrannical,0.4381755292415619,terrorist,1851-1900,CBOW,25
louisiana_south_carolina,0.6037494540214539,terrorism,1851-1900,SkipGram,1
alabama_arkansas,0.5996379852294922,terrorism,1851-1900,SkipGram,2
unauthorized,0.5932134389877319,terrorism,1851-1900,SkipGram,3
arkansas,0.5857910513877869,terrorism,1851-1900,SkipGram,4
louisiana_mississippi,0.5849815011024475,terrorism,1851-1900,SkipGram,5
constitutional_convention,0.5796948075294495,terrorism,1851-1900,SkipGram,6
georgia_alabama,0.5787851810455322,terrorism,1851-1900,SkipGram,7
south_carolina,0.5745632648468018,terrorism,1851-1900,SkipGram,8
mississippi_louisiana,0.5701320767402649,terrorism,1851-1900,SkipGram,9
alabama,0.5628122687339783,terrorism,1851-1900,SkipGram,10
rider,0.5496662855148315,terrorism,1851-1900,SkipGram,11
vain,0.5400434732437134,terrorism,1851-1900,SkipGram,12
populist,0.5359886884689331,terrorism,1851-1900,SkipGram,13
nullify,0.5327316522598267,terrorism,1851-1900,SkipGram,14
democrats,0.5315634608268738,terrorism,1851-1900,SkipGram,15
perpetrate,0.5268938541412354,terrorism,1851-1900,SkipGram,16
sill,0.5247751474380493,terrorism,1851-1900,SkipGram,17
speedily,0.5239269137382507,terrorism,1851-1900,SkipGram,18
extremely_difficult,0.5227826833724976,terrorism,1851-1900,SkipGram,19
disgraceful,0.522774875164032,terrorism,1851-1900,SkipGram,20
tranquil,0.5219441056251526,terrorism,1851-1900,SkipGram,21
import,0.5213860869407654,terrorism,1851-1900,SkipGram,22
mississippi,0.521278440952301,terrorism,1851-1900,SkipGram,23
color_voter,0.5210544466972351,terrorism,1851-1900,SkipGram,24
fair_election,0.5206196904182434,terrorism,1851-1900,SkipGram,25
intimidation,0.7290250062942505,terrorist,1851-1900,SkipGram,1
exercise,0.6854044198989868,terrorist,1851-1900,SkipGram,2
violence,0.6613060832023621,terrorist,1851-1900,SkipGram,3
irresponsible,0.6310320496559143,terrorist,1851-1900,SkipGram,4
brigandage,0.6122757196426392,terrorist,1851-1900,SkipGram,5
systematic,0.6066519618034363,terrorist,1851-1900,SkipGram,6
violence_intimidation,0.6036780476570129,terrorist,1851-1900,SkipGram,7
fraud,0.6033803224563599,terrorist,1851-1900,SkipGram,8
wholesale,0.6019083261489868,terrorist,1851-1900,SkipGram,9
outrage,0.5984101295471191,terrorist,1851-1900,SkipGram,10
resorted,0.5964127779006958,terrorist,1851-1900,SkipGram,11
proscription,0.5900700688362122,terrorist,1851-1900,SkipGram,12
terrorise,0.5883780121803284,terrorist,1851-1900,SkipGram,13
ferocious,0.5826138854026794,terrorist,1851-1900,SkipGram,14
corrupt_influence,0.580043375492096,terrorist,1851-1900,SkipGram,15
frenzy,0.5741563439369202,terrorist,1851-1900,SkipGram,16
practice,0.5740801692008972,terrorist,1851-1900,SkipGram,17
reign,0.5720446705818176,terrorist,1851-1900,SkipGram,18
mississippi_louisiana,0.5706603527069092,terrorist,1851-1900,SkipGram,19
riot_tumult,0.567875862121582,terrorist,1851-1900,SkipGram,20
system,0.5678606629371643,terrorist,1851-1900,SkipGram,21
terror,0.5655079483985901,terrorist,1851-1900,SkipGram,22
thrive,0.5612843632698059,terrorist,1851-1900,SkipGram,23
lawless,0.5591000318527222,terrorist,1851-1900,SkipGram,24
illegal,0.5587813854217529,terrorist,1851-1900,SkipGram,25
social_revolutionist,0.7818499207496643,terrorism,1901-1930,CBOW,1
unionist,0.7434462308883667,terrorism,1901-1930,CBOW,2
socialist_revolutionary,0.7419360876083374,terrorism,1901-1930,CBOW,3
