Word2Vec Robustness Check: Unified min_count=5
Original: variable min_count (3/5/20 by corpus size)
======================================================================

1851-1900 | terrorism | CBOW                        Overlap:  7/25  Jaccard: 0.16  Dropped: ['antagonise', 'arkansas_mississippi', 'bias', 'depopulate', 'exalted', 'florida_louisiana', 'found_principle', 'intimidation_violence', 'jefferson', 'klan', 'lawlessness_prevail', 'legislature_elect', 'merciless', 'mississippi_louisiana', 'practical_disfranchisement', 'riot_tumult', 'south_west', 'throughout_entire']  New: ['civil_right', 'congressional_district', 'enfranchise', 'essence', 'florida', 'incorrect', 'interference', 'maryland_virginia', 'overt_act', 'pal_proquest_historical', 'ratio', 'representatives', 'review', 'ringleader', 'secede', 'secessionist', 'slaveholding', 'supposition']
1851-1900 | terrorism | SkipGram                    Overlap:  5/25  Jaccard: 0.11  Dropped: ['arkansas_mississippi', 'ascertain_exact', 'defence_protection', 'delegates', 'deprive_right', 'eastern_tennessee', 'evidence', 'exist', 'foreign_consul', 'freedmen', 'insulate', 'interesting_alabama', 'lawlessness_prevail', 'nonsensical', 'oxford_miss', 'reign_terror', 'reign_terror_exist', 'riots', 'stand_trial', 'virus']  New: ['alabama', 'color_voter', 'constitutional_convention', 'democrats', 'disgraceful', 'extremely_difficult', 'import', 'louisiana_mississippi', 'louisiana_south_carolina', 'mississippi_louisiana', 'nullify', 'perpetrate', 'populist', 'rider', 'sill', 'south_carolina', 'speedily', 'tranquil', 'unauthorized', 'vain']
1851-1900 | terrorist | CBOW                        Overlap: 11/25  Jaccard: 0.28  Dropped: ['amply_sufficient', 'arkansas_mississippi', 'barbarous', 'fruitful', 'intent_purpose', 'irresponsible', 'priest', 'shameful', 'spy', 'strong_feeling', 'tactic', 'terror', 'universal_suffrage', 'venomous']  New: ['australian', 'conspiracy', 'grind', 'illegal', 'incredulity', 'lawless', 'notoriously', 'patronage', 'pressure', 'stony_follow', 'sympathizer', 'terrorise', 'tyrannical', 'viii']
1851-1900 | terrorist | SkipGram                    Overlap: 11/25  Jaccard: 0.28  Dropped: ['arkansas_mississippi', 'bloodshed', 'corruption', 'daily_nightly', 'evildoer', 'fatally', 'persecution', 'prevail', 'prohibitionist', 'strong_feeling', 'universal_suffrage', 'virtual', 'widespread', 'wild_excitement']  New: ['brigandage', 'corrupt_influence', 'ferocious', 'frenzy', 'illegal', 'irresponsible', 'lawless', 'outrage', 'practice', 'proscription', 'resorted', 'system', 'systematic', 'terror']
1901-1930 | terrorism | CBOW                        Overlap: 14/25  Jaccard: 0.39  Dropped: ['assassination', 'charge_conspire', 'countless', 'coup_tat', 'express_sympathy', 'field_marshal', 'friedrich', 'minister_interior', 'russian_revolutionists', 'vengeance', 'wholesale_execution']  New: ['form_cabinet', 'indignation', 'king_alexander', 'labor_party', 'nikolai', 'noblemen', 'organ', 'political_opponent', 'refuse_recognize', 'social_revolutionary', 'unionist']
1901-1930 | terrorism | SkipGram                    Overlap: 13/25  Jaccard: 0.35  Dropped: ['berlin_via', 'bolshevik', 'charge_conspire', 'communist_propaganda', 'indianapolis', 'inquest', 'method_warfare', 'peer', 'ridicule', 'social_revolutionists', 'ted', 'unheard']  New: ['class_hit_dig_proquest', 'deny', 'duel', 'lender', 'offer_reward', 'palatinate', 'passive_resistance', 'political_opponent', 'political_prisoner', 'terrorist', 'terrorist_activity', 'warsaw_dispatch']
1901-1930 | terrorist | CBOW                        Overlap: 20/25  Jaccard: 0.67  Dropped: ['brutally', 'indignation', 'murder', 'perpetrate', 'spread']  New: ['attempt', 'disguise', 'illegal', 'retaliation', 'ruthless']
1901-1930 | terrorist | SkipGram                    Overlap: 13/25  Jaccard: 0.35  Dropped: ['assassination', 'awakening', 'emissary', 'inaugurate', 'instrumental', 'murder_robbery', 'night_rider', 'parliamentary_election', 'pillage', 'political_opponent', 'resorted', 'unlawful_act']  New: ['become_aware', 'blackmail', 'cowardly', 'intimidate', 'knife', 'net_result', 'outrage', 'perpetuate', 'pitiless', 'reign_terror', 'ruthlessness', 'trial_jury']
1931-1950 | terrorism | CBOW                        Overlap: 15/25  Jaccard: 0.43  Dropped: ['arabs', 'assail', 'berne_switzerland', 'deportation', 'klan', 'leftist', 'outlaws', 'plotter', 'reign_terror', 'riots']  New: ['belgrade_dig', 'class_hit_dig_proquest', 'coup', 'proquest_historical_palestine', 'seizure', 'stockholm_sweden', 'table_york_times', 'tireless_yore', 'tireless_york_times_dig', 'york_times_dig_proquest']
1931-1950 | terrorism | SkipGram                    Overlap: 11/25  Jaccard: 0.28  Dropped: ['electoral_campaign', 'fascism', 'gunman', 'holdup', 'jews', 'klan', 'labor_confederation', 'meetings', 'misrule', 'organizations', 'reich', 'rome', 'sown', 'terror']  New: ['associate_dress_dig_proquest', 'beating', 'class_hit_dig_proquest', 'jews_palestine', 'laval', 'proquest_historical_arabs', 'riot', 'special_tre', 'table_york_times', 'textile_strike', 'tireless_york_times_dig', 'weir', 'york_times_dig_proquest', 'zionism']
1931-1950 | terrorist | CBOW                        Overlap: 19/25  Jaccard: 0.61  Dropped: ['agitator', 'au_authority', 'bridle', 'informer', 'mediator_palestine', 'passive_resistance']  New: ['abduction', 'assassination', 'brigandage', 'kidnapping', 'reprisal', 'senseless']
